Employee_No,onTimeIN,onTimeOUT
925,474,504
929,8,8
932,32,31
933,19,19
934,32,32
938,9,9
941,275,232
942,189,333
943,33,28
945,411,425
947,465,463
948,503,512
950,243,458
959,37,35
962,158,145
964,49,46
966,45,43
967,31,31
968,25,23
969,3,5
971,22,24
975,226,242
983,57,42
986,0,2
987,68,71
992,140,128
993,53,37
994,43,74
995,354,347
996,35,23
998,217,277
999,273,246
1001,261,284
1002,21,13
1004,42,35
1005,234,277
1006,6,5
1008,615,597
1013,78,88
1021,47,45
1023,13,13
1024,12,12
1025,39,38
1036,116,110
1039,16,18
1041,56,68
1054,30,40
1060,85,85
1071,424,423
1072,200,271
1073,409,468
1075,574,602
1078,31,33
1080,395,438
1081,531,544
1085,40,41
1086,234,223
1089,315,360
1093,171,170
1094,165,162
1096,46,46
1097,540,537
1098,205,177
1099,424,413
1101,14,8
1103,250,266
1105,1,1
1106,310,290
1109,66,273
1120,410,482
1121,85,102
1125,26,26
1126,672,674
1127,146,145
1128,463,493
1131,391,468
1137,3,6
1138,210,188
1141,4,6
1143,47,43
1146,8,13
1147,1,0
1148,44,44
1157,353,435
1158,364,399
1159,72,72
1160,64,64
1162,132,143
1170,183,210
1174,14,52
1177,179,278
1178,117,191
1181,207,255
1184,59,103
1188,498,480
1192,8,8
1194,93,86
1195,308,304
1197,17,18
1205,70,69
1206,444,521
1207,136,126
1208,100,90
1209,357,340
1210,265,263
1211,1,1
1212,322,362
1214,184,167
1218,46,54
1222,100,431
1223,15,15
1231,43,43
1235,4,4
1238,4,3
1240,52,50
1244,20,6
1245,115,115
1246,15,15
1248,171,166
1249,77,77
1250,93,93
1252,81,81
1263,46,122
1267,2,0
1269,412,419
1272,106,94
1273,80,75
1278,359,360
1279,329,349
1281,45,33
1285,428,485
1286,288,273
1290,19,16
1296,35,34
1303,1,1
1304,97,140
1305,1,1
1306,310,404
1308,254,366
1312,40,39
1313,23,22
1314,43,39
1318,24,23
1325,57,63
1327,396,433
1330,74,95
1331,414,463
1332,6,4
1334,81,100
1336,2,2
1337,123,155
1339,46,87
1342,298,298
1351,18,16
1357,243,276
1359,106,102
1361,53,70
1362,218,209
1365,61,72
1366,101,79
1367,131,133
1369,15,4
1375,1,0
1377,162,150
1381,213,327
1383,145,198
1385,21,78
1386,226,247
1388,447,450
1390,116,95
1398,334,406
1399,399,400
1406,20,51
1407,55,52
1408,2,3
1409,42,36
1417,14,9
1420,299,268
1423,10,4
1424,36,79
1425,223,226
1426,6,0
1430,75,72
1431,361,348
1432,51,78
1433,40,52
1434,218,240
1435,30,32
1436,412,464
1437,3,20
1439,90,99
1440,42,61
1441,27,31
1442,0,0
1443,43,46
1444,194,261
1446,142,257
1447,13,13
1448,89,82
1450,255,221
1452,30,30
1453,35,34
1454,168,173
1458,39,36
1459,178,174
1461,4,4
1462,24,24
1463,166,169
1464,262,232
1465,65,56
1467,62,65
1468,235,208
1470,31,47
1472,70,59
1473,31,20
1474,84,60
1475,98,85
1476,80,53
1477,168,168
1478,168,168
1479,125,126
1484,113,70
1485,34,34
1486,51,51
1487,15,16
1488,25,25
1490,45,86
1491,28,173
1492,42,36
1493,84,85
1495,27,27
1498,7,11
1499,299,302
1504,524,479
1512,82,53
1515,29,29
1517,168,165
1518,104,87
1525,1,0
1526,41,38
1528,8,51
1529,0,12
1531,29,28
1532,173,170
1534,41,115
1538,211,221
1539,309,380
1540,348,340
1541,6,6
1543,57,69
1545,70,113
1547,6,4
1548,74,74
1549,58,46
1550,174,162
1551,46,37
1552,7,17
1556,9,9
1558,120,119
1559,99,98
1560,33,34
1561,71,49
1563,28,15
1565,5,5
1566,474,467
1567,229,228
1569,6,10
1571,0,6
1573,49,64
1574,238,236
1575,308,291
1578,83,62
1580,51,44
1581,34,26
1582,49,46
1583,41,37
1584,57,46
1585,77,64
1586,54,44
1587,63,32
1588,0,1
1589,31,30
1590,34,33
1592,29,28
1593,6,5
1595,186,185
1596,61,59
1598,404,404
1599,68,68
1600,279,276
1603,22,87
1607,75,76
1609,8,8
1611,49,48
1612,1,1
1613,54,54
1614,28,25
1615,57,56
1616,31,101
1617,0,19
1619,69,74
1620,17,84
1621,122,176
1622,58,43
1623,207,193
1625,38,68
1626,4,4
1627,4,4
1628,168,194
1629,31,54
1630,279,311
1631,9,7
1632,61,110
1633,66,18
1634,12,0
1635,422,421
1636,6,8
1637,152,152
1639,18,15
1640,1,1
1641,1,1
1643,14,2
1644,212,5
1646,32,30
1650,38,29
1651,183,150
1652,7,7
1654,14,14
1655,16,17
1656,361,350
1657,235,326
1659,137,384
1660,113,113
1661,18,18
1663,85,84
1664,155,154
1665,24,24
1666,425,427
1668,31,21
1669,322,331
1670,120,100
1671,12,14
1672,12,8
1673,24,21
1674,92,103
1675,16,14
1676,2,2
1677,5,5
1678,2,2
1679,1,2
1680,16,16
1681,24,17
1682,116,129
1683,181,170
1685,139,417
1687,12,13
1688,13,11
1689,10,9
1691,48,49
1692,10,8
1693,9,8
1694,73,72
1695,151,151
1696,7,7
1697,183,166
1698,12,26
1699,4,5
1700,41,92
1701,2,3
1702,18,18
1703,30,27
1704,55,59
1705,44,42
1707,32,36
1708,220,215
1709,141,141
1710,115,111
1711,19,26
1712,54,87
1713,9,9
1714,32,39
1715,9,57
1716,69,73
1717,288,387
1718,40,60
1719,7,7
1720,3,3
1721,127,127
1722,39,39
1725,13,3
1726,5,5
1727,8,5
1728,230,256
1729,36,89
1730,37,90
1731,115,110
1732,59,60
1734,80,106
1735,208,205
1736,53,47
1737,67,59
1738,80,77
1739,81,81
1740,53,51
1741,4,26
1742,1,2
1743,8,9
1744,11,13
1745,32,31
1746,23,19
1748,35,35
1749,98,97
1750,18,18
1751,14,13
1752,6,6
1753,105,109
1754,46,48
1755,30,32
1756,64,58
1757,88,87
1758,27,27
1759,55,132
1760,181,166
1761,60,66
1762,67,71
1763,61,69
1764,26,49
1765,17,33
1766,16,41
1767,9,19
1768,17,43
1769,26,31
1770,23,38
1771,317,411
1772,77,76
1773,86,88
1774,75,74
1775,10,11
1776,60,73
1778,14,14
1779,14,14
1780,54,54
1781,28,27
1782,14,14
1783,6,6
1784,190,183
1785,10,10
1786,25,25
1787,31,31
1788,29,29
1789,35,34
1790,30,30
1791,29,29
1792,15,15
1793,50,50
1794,34,34
1795,1,0
1796,129,125
1797,85,88
1798,42,44
1800,333,398
1801,99,100
1802,57,85
1803,238,238
1804,68,69
1805,0,0
1806,51,51
1807,62,62
1808,135,138
1809,114,114
1810,27,40
1811,29,28
1812,19,19
1813,1,1
1814,236,263
1815,171,340
1816,257,261
1817,116,124
1818,41,41
1820,141,202
1821,13,12
1822,123,118
1823,10,10
1824,30,30
1825,75,76
1826,9,8
1827,115,109
1828,22,27
1829,22,29
1831,96,86
1833,212,377
1834,128,158
1836,26,23
1837,201,198
1838,190,180
1839,194,194
1840,0,0
1841,56,67
1842,69,60
1843,89,83
1844,225,220
1846,128,116
1847,62,52
1849,98,97
1850,220,211
1851,22,22
1852,202,195
1853,10,10
1854,194,183
1855,254,249
1856,38,35
1857,140,131
1858,18,18
1859,40,35
1860,210,206
1861,157,148
1862,243,224
1863,247,237
1864,46,47
1865,406,386
1866,101,89
1867,208,185
1868,39,38
1869,69,63
1870,88,90
1871,29,21
1872,31,25
1873,134,122
1874,100,93
1875,177,175
1878,214,216
1879,4,5
1880,26,24
1881,91,80
1882,25,25
1883,88,87
1885,27,24
1886,220,202
1887,15,10
1889,89,87
1890,198,186
1891,74,58
1892,120,115
1893,181,172
1894,82,131
1895,156,155
1896,27,28
1897,43,43
1898,3,3
1899,367,361
1900,5,5
1901,36,40
1902,165,165
1903,218,222
1904,116,141
1905,1,4
1906,57,56
1907,138,126
1908,7,4
1909,132,128
1910,59,60
1911,42,43
1912,22,7
1914,33,26
1916,162,148
1917,175,165
1918,121,153
1919,5,4
1920,197,185
1921,32,30
1922,29,29
1923,21,15
1924,9,9
1925,5,5
1926,443,365
1927,11,12
1928,11,11
1929,36,36
1930,6,6
1931,129,406
1932,112,107
1933,87,77
1934,29,29
1935,134,125
1936,139,171
1937,3,3
1938,229,220
1939,8,8
1940,30,31
1941,112,106
1942,59,54
1943,3,4
1944,395,393
1947,45,37
1948,25,24
1949,5,4
1950,16,13
1951,17,26
1952,0,2
1953,1,1
1954,66,59
1955,110,128
1956,40,41
1957,287,181
1958,247,214
1959,236,413
1960,25,30
1961,251,320
1962,2,3
1963,163,209
1964,191,365
1965,106,102
1966,119,233
1967,0,0
1969,94,96
1970,137,135
1971,64,62
1972,12,7
1973,17,27
1975,212,242
1976,85,109
1979,60,51
1980,214,277
1981,438,438
1982,215,217
1983,213,213
1984,83,81
1985,107,125
1986,36,34
1987,90,87
1988,134,138
1989,24,26
1990,93,110
1993,93,90
1994,2,2
1995,510,510
1996,99,106
1997,0,1
1998,129,103
1999,176,247
2000,26,84
2001,2,2
2002,104,114
2003,12,10
2004,11,9
2005,10,8
2006,344,375
2007,185,181
2008,81,91
2009,66,91
2010,172,415
2011,18,17
2012,4,4
2013,185,404
2014,94,93
2015,101,101
2016,179,181
2017,278,390
2019,133,342
2020,206,204
2021,81,80
2022,134,219
2023,157,161
2024,101,106
2025,73,74
2026,49,49
2027,123,256
2029,23,21
2030,43,44
2031,68,72
2032,34,34
2033,148,147
2034,166,165
2035,93,93
2036,344,371
2037,16,21
2038,69,97
2039,58,56
2040,126,200
2042,9,3
2043,17,34
2044,204,203
2045,216,216
2046,229,238
2048,142,145
2049,180,183
2050,178,178
2051,160,157
2053,327,313
2054,178,177
2055,38,38
2056,29,31
2057,182,182
2059,126,126
2060,155,157
2061,19,18
2062,167,167
2063,124,183
2064,147,266
2065,164,156
2066,38,37
2068,335,336
2069,9,11
2070,38,26
2072,225,199
2073,211,207
2074,0,0
2075,5,5
2076,34,35
2077,30,30
2078,25,25
2079,194,190
2080,97,92
2081,22,24
2082,15,18
2083,30,29
2085,112,117
2086,167,160
2088,386,365
2089,275,304
2090,15,11
2091,29,25
2092,26,26
2093,2,2
2094,240,379
2095,5,5
2096,25,25
2097,364,365
2098,20,23
2100,40,50
2101,149,159
2102,155,153
2103,83,83
2104,90,89
2105,143,143
2106,164,164
2107,153,133
2109,51,63
2110,76,90
2111,45,93
2112,9,19
2113,13,13
2114,36,35
2116,175,175
2117,53,55
2119,156,258
2120,137,138
2121,173,178
2122,151,154
2123,98,97
2124,64,107
2125,9,9
2126,292,302
2127,38,40
2128,19,22
2129,21,19
2130,19,19
2132,169,167
2133,155,157
2134,0,1
2135,163,354
2136,46,58
2137,170,172
2138,66,66
2139,17,17
2140,125,124
2141,9,8
2142,100,101
2143,44,38
2144,2,2
2146,215,215
2147,153,153
2148,183,183
2149,19,37
2150,141,146
2152,4,4
2153,117,116
2154,3,3
2156,42,42
2157,134,134
2158,288,306
2159,40,52
2160,103,181
2161,309,407
2162,99,110
2163,80,105
2164,104,217
2165,73,87
2166,234,309
2167,12,12
2168,129,312
2169,47,41
2170,27,27
2171,129,132
2172,52,51
2173,73,72
2174,162,238
2175,2,2
2176,9,10
2177,20,23
2178,50,100
2179,10,10
2180,2,2
2181,2,2
2184,59,74
2185,60,64
2186,3,3
2187,49,72
2188,80,101
2189,55,70
2190,6,5
2191,11,8
2193,39,39
2195,15,15
2196,60,98
2197,1,20
2198,104,115
2199,50,54
2200,143,144
2202,11,11
2203,8,8
2204,137,137
2207,157,168
2208,239,328
2209,142,329
2210,297,72
2211,14,21
2212,87,90
2213,170,172
2214,115,116
2215,4,8
2216,3,3
2217,12,12
2218,16,16
2220,1,2
2221,134,134
2222,10,20
2223,2,2
2225,58,112
2226,91,91
2227,47,46
2228,70,68
2229,5,5
2230,130,130
2231,98,96
2233,206,190
2234,2,3
2235,2,3
2236,15,16
2237,141,35
2238,202,319
2239,11,10
2240,66,69
2241,153,159
2242,1,1
2243,82,84
2244,12,13
2245,32,34
2246,133,97
2247,75,74
2249,316,316
2251,9,9
2252,0,1
2254,192,184
2255,96,89
2256,15,14
2257,69,69
2258,4,5
2259,64,64
2260,43,46
2261,9,12
2262,58,60
2263,51,53
2264,62,64
2265,57,57
2267,408,407
2268,111,344
2269,135,134
2270,149,226
2271,28,60
2272,54,104
2273,35,74
2274,149,194
2275,112,67
2276,160,160
2277,108,109
2278,25,100
2279,80,83
2280,22,25
2281,10,11
2282,78,99
2283,44,84
2284,7,9
2286,83,112
2290,2,4
2291,51,46
2296,84,81
2297,121,121
2298,5,4
2299,93,93
2300,100,100
2301,13,12
2302,123,119
2304,62,58
2305,93,92
2306,16,17
2307,88,88
2308,74,74
2309,25,25
2310,86,70
2311,6,10
2312,7,11
2313,183,252
2314,4,6
2316,72,72
2317,14,14
2318,7,7
2319,2,1
2320,11,12
2321,100,113
2322,79,76
2323,85,86
2324,41,39
2325,220,249
2326,15,13
2327,79,80
2328,4,6
2329,133,309
2330,73,20
2331,83,84
2332,314,290
2333,14,15
2334,96,97
2337,55,56
2338,80,77
2339,211,235
2341,69,100
2342,92,93
2343,65,65
2344,124,125
2345,185,180
2346,65,83
2347,179,181
2348,15,66
2349,19,25
2350,2,1
2351,30,34
2352,4,7
2353,4,7
2354,4,7
2355,16,19
2356,7,12
2357,2,5
2358,2,5
2360,69,68
2361,64,65
2362,30,31
2363,29,29
2364,12,63
2365,58,76
2366,49,69
2367,0,1
2368,52,101
2369,76,82
2370,194,292
2371,172,88
2372,74,76
2376,227,250
2377,97,118
2378,38,249
2379,42,44
2380,98,95
2381,53,52
2382,89,88
2383,52,49
2384,149,252
2385,122,142
2386,88,88
2387,331,331
2388,7,14
2389,2,56
2390,98,98
2391,98,98
2392,114,202
2393,145,277
2394,46,45
2395,76,79
2396,284,281
2397,41,41
2398,46,46
2399,7,10
2401,4,3
2402,84,154
2404,51,51
2406,161,311
2408,66,66
2409,3,3
2410,321,321
2411,6,6
2412,2,2
2414,16,16
2415,32,36
2416,29,32
2417,26,32
2418,13,17
2420,1,1
2421,60,59
2423,3,3
2424,1,1
2425,34,43
2427,170,176
2428,188,270
2429,245,300
2430,93,259
2431,283,287
2432,329,347
2433,54,58
2434,128,125
2435,101,99
2436,67,89
2437,3,3
2438,39,37
2439,41,37
2440,76,77
2441,8,7
2442,8,7
2443,66,92
2444,13,12
2446,53,120
2447,1,0
2448,31,33
2449,28,50
2450,295,297
2451,86,120
2452,39,38
2453,280,290
2454,279,310
2455,313,323
2457,22,24
2458,159,152
2459,53,53
2460,19,19
2461,115,209
2462,50,50
2466,104,102
2467,56,56
2468,322,323
2469,45,44
2470,13,13
2471,38,38
2472,183,193
2473,165,166
2474,31,33
2475,242,232
2476,33,36
2477,265,295
2478,335,174
2480,38,65
2481,17,23
2482,63,63
2483,51,50
2484,190,206
2485,211,219
2486,60,69
2487,47,48
2488,3,3
2489,84,81
2490,10,10
2491,225,250
2493,1,1
2495,38,38
2496,59,59
2498,13,13
2499,49,48
2500,43,42
2503,23,23
2504,176,187
2505,77,248
2506,225,280
2507,36,36
2508,6,7
2509,58,59
2510,83,83
2512,40,40
2513,34,34
2514,33,33
2515,39,39
2516,15,14
2517,16,15
2518,16,15
2519,5,5
2520,11,10
2521,11,11
2522,50,49
2523,80,78
2524,15,15
2526,34,33
2527,48,48
2529,18,22
2530,71,80
2531,226,225
2532,114,189
2533,26,69
2535,28,29
2536,157,166
2538,2,2
2540,3,6
2541,25,25
2542,17,17
2543,20,20
2544,32,32
2545,28,28
2546,201,200
2548,3,3
2550,2,2
2551,252,249
2552,190,179
2553,10,12
2554,28,28
2555,223,230
2556,219,239
2557,8,12
2558,15,15
2559,58,57
2560,18,19
2561,187,190
2562,4,67
2563,12,12
2564,40,41
2565,73,76
2566,27,29
2567,49,50
2568,29,33
2569,127,190
2570,5,6
2572,183,200
2573,166,219
2574,173,229
2575,4,8
2576,5,0
2577,4,0
2578,7,0
2579,3,0
2580,3,0
2581,6,0
2582,6,0
2583,16,16
2584,112,117
2585,6,6
2586,13,13
2587,7,7
2588,115,122
2590,5,21
2591,218,226
2592,55,50
2593,3,10
2594,76,187
2596,132,121
2597,117,168
2598,10,10
2599,26,27
2600,4,5
2601,87,63
2602,18,18
2603,92,95
2604,40,90
2606,81,121
2607,55,80
2608,101,99
2609,2,15
2610,114,113
2611,4,174
2612,0,12
2613,8,199
2614,16,17
2615,11,11
2616,7,7
2617,56,62
2618,19,20
2619,7,7
2620,7,7
2621,7,7
2622,41,99
2623,26,38
2624,62,103
2625,0,5
2627,16,78
2628,65,7
2631,142,107
2632,106,105
2633,69,68
2634,12,13
2635,10,10
2636,1,15
2637,79,122
2638,0,15
2639,0,37
2640,16,18
2641,43,45
2642,63,83
2643,127,130
2644,78,79
2645,11,11
2646,4,4
2647,10,9
2648,96,95
2649,92,90
2650,108,104
2651,72,70
2652,18,19
2653,11,11
2654,12,12
2655,55,102
2656,91,139
2657,12,12
2658,20,19
2659,16,16
2660,91,100
2661,8,10
2663,58,60
2664,34,87
2665,47,96
2666,30,72
2667,111,109
2668,91,107
2669,130,130
2670,43,43
2671,106,106
2672,36,73
2673,141,141
2674,118,121
2675,30,42
2676,4,4
2677,89,89
2678,120,109
2679,94,105
2680,76,97
2681,71,84
2682,58,76
2683,61,65
2684,34,79
2685,10,10
2686,1,2
2687,7,8
2688,52,50
2689,43,41
2690,0,1
2691,21,22
2692,78,77
2693,0,12
2694,0,86
2695,78,79
2696,0,1
2697,69,68
2698,44,86
2699,6,8
2700,42,81
2701,94,92
2702,13,14
2703,1,2
2704,14,20
2705,67,68
2707,70,69
2708,2,2
2709,47,84
2710,1,2
2711,26,26
2712,77,78
2713,96,91
2714,26,51
2715,38,38
2716,101,99
2717,2,3
2718,96,94
2719,12,12
2721,66,62
2722,84,76
2723,28,40
2724,1,1
2725,64,62
2726,69,68
2727,28,29
2728,77,75
2729,73,72
2730,61,64
2731,41,38
2732,27,48
2733,0,1
2734,75,83
2735,14,26
2736,8,15
2737,16,77
2738,18,18
2739,20,20
2740,27,27
2741,25,26
2742,20,26
2743,66,65
2744,40,41
2745,63,62
2746,53,50
2747,16,14
2748,48,47
2749,17,16
2750,26,24
2751,71,68
2752,4,5
2753,67,66
2754,78,76
2755,84,83
2756,8,8
2757,63,67
2758,11,9
2759,29,63
2760,67,65
2761,26,28
2762,52,63
2763,16,17
2764,46,47
2765,5,5
2766,76,75
2767,14,14
2768,83,83
2769,5,5
2770,10,20
2771,56,68
2772,64,61
2773,42,40
2774,67,72
2775,34,34
2776,0,0
2777,56,63
2778,50,45
2779,41,46
2780,10,11
2781,50,51
2782,17,34
2783,14,37
2784,25,36
2785,28,31
2786,1,1
2788,29,51
2789,57,57
2790,11,21
2791,63,72
2792,29,24
2793,23,31
2796,46,46
2797,20,69
2798,5,22
2799,50,47
2800,43,46
2801,46,46
2802,65,61
2803,41,42
2804,11,12
2805,36,38
2806,16,18
2807,6,7
2808,6,7
2809,10,13
2810,18,18
2811,56,66
2812,11,12
2813,50,56
2814,12,16
2815,25,29
2816,14,14
2817,0,1
2818,27,27
2819,10,10
2820,11,11
2821,28,28
2822,50,50
2823,35,40
2824,40,42
2825,7,9
2826,47,47
2827,48,50
2828,44,43
2829,31,29
2831,52,54
2835,22,41
2836,15,35
2837,8,9
2838,22,14
2841,35,34
2842,9,32
2843,17,17
2845,33,32
2846,37,39
2847,17,20
2848,47,51
2849,8,8
2850,44,45
2851,27,45
2852,17,46
2853,56,56
2854,38,38
2855,32,31
2856,32,34
2857,42,42
2858,37,40
2859,54,52
2860,2,2
2861,46,46
2862,39,35
2863,19,20
2864,33,32
2865,18,20
2866,13,13
2867,0,2
2868,2,7
2869,15,16
2870,19,19
2871,4,14
2872,4,14
2873,25,25
2874,29,29
2875,28,29
2876,24,26
2877,22,22
2878,23,23
2879,39,43
2880,42,39
2881,30,27
2882,28,25
2884,1,1
2885,27,26
2887,19,19
2888,36,37
2890,20,41
2891,7,7
2892,20,19
2893,10,15
2894,18,18
2895,21,19
2896,1,2
2897,1,2
2898,0,1
2899,1,1
2900,29,28
2901,29,28
2902,1,8
2903,6,38
2904,21,24
2905,25,25
2906,19,21
2907,9,11
2908,13,14
2909,20,22
2910,19,19
2911,19,19
2912,16,16
2913,13,17
2914,20,21
2915,12,13
2916,2,2
2918,26,22
2919,9,10
2920,24,22
2922,35,38
2923,15,15
2924,2,7
2925,18,19
2926,14,20
2927,16,19
2928,14,14
2929,13,13
2930,15,15
2931,10,11
2932,11,15
2933,10,13
2934,11,13
2935,12,15
2936,20,25
2937,24,22
2938,24,23
2939,24,24
2940,8,11
2941,21,21
2942,29,32
2943,37,38
2944,25,23
2945,29,29
2946,28,25
2947,11,11
2948,26,21
2949,32,31
2950,29,25
2951,24,22
2952,6,16
2953,3,21
2954,11,15
2955,3,4
2957,13,11
2958,9,12
2959,5,5
2960,7,8
2961,23,23
2962,1,3
2963,23,25
2964,24,23
2965,29,29
2966,16,16
2967,24,20
2968,3,3
2969,14,11
2970,19,16
2971,17,18
2972,23,22
2973,16,20
2974,5,8
2975,10,11
2977,3,3
2978,4,6
2979,0,4
2980,0,1
2981,3,4
2982,18,17
2983,32,30
2984,31,28
2985,27,25
2986,22,21
2987,15,15
2988,25,23
2989,23,17
2990,24,23
2991,8,6
2992,3,3
2993,17,17
2994,16,14
2995,10,9
2996,22,21
2997,18,15
2998,14,13
2999,16,15
3000,12,12
3001,13,12
3002,21,19
3003,16,14
3004,2,2
3005,13,13
3006,14,18
3007,9,9
3008,14,13
3009,18,14
3010,3,3
3011,10,11
3012,1,1
3013,12,10
3014,19,17
3015,19,13
3016,14,12
3017,16,11
3018,14,10
3019,15,12
3020,4,3
3021,5,5
3022,2,4
3023,1,3
3024,9,5
3025,7,4
3027,7,7
3028,12,12
3029,8,9
3030,1,2
3031,4,7
3032,7,8
3033,7,7
3034,7,7
3035,6,7
3036,6,7
3037,6,6
3038,6,6
3039,6,6
3040,6,7
3041,7,7
3042,1,6
3043,13,16
3044,15,17
3045,15,17
3046,9,10
3047,10,11
3048,1,1
3049,11,7
3050,12,11
3051,19,17
3052,11,8
3053,18,17
3054,17,14
3055,11,8
3056,10,7
3057,16,15
3058,19,18
3059,12,9
3060,13,11
3061,13,10
3062,2,8
3063,0,8
3064,0,6
3065,13,12
3066,19,16
3067,26,27
3068,2,2
3069,11,11
3070,10,11
3071,11,8
3072,7,5
3073,12,11
3074,12,10
3075,7,4
3076,6,6
3077,9,8
3078,12,11
3079,5,5
3080,5,3
3081,6,6
3082,14,13
3083,3,2
3085,20,16
3086,8,8
3087,18,16
3088,8,6
3089,2,3
3090,3,3
